Name,Sector,Sub-Sector,Market Cap,Return on Equity,ROCE,Cash Flow Margin,EBITDA Margin,Net Profit Margin,Return on Assets,Asset Turnover Ratio,Working Capital Turnover Ratio,Current Ratio,Debt to Equity,PE Ratio,PB Ratio,Sector PE,Sector PB,PS Ratio,Sector Dividend Yield,Return on Investment,MF Holding Change 3M,MF Holding Change 6M,FII Holding Change 3M,FII Holding Change 6M,DII Holding Change 3M,DII Holding Change 6M,EPS (Q),Dividend Per Share,Debt to Equity ,Debt to Asset,R1,R2
Bharti Airtel Ltd,Communication Services,Telecom Services,977177.32,7.04,11.65,51.19,48.57,4.84,1.68,0.35,-2.13,0.42,2.04,130.87,9.26,-155.52,14.73,6.34,0.37,9.38,-0.3,-0.35,0.45,0.73,-0.47,-0.53,6.21,8,2.04,0.49,1,0
Zomato Ltd,Communication Services,Online Services,214961.64,1.76,1.71,4.98,6.86,2.71,1.56,0.58,2.03,2.62,0.04,612.43,10.53,-155.52,14.73,16.59,0.37,2,1.05,1.61,-1.58,-2.58,1.55,2.08,0.2,0,0.04,0.03,0,0
Info Edge (India) Ltd,Communication Services,Online Services,99294.92,2.5,2.64,23.81,34.39,19.5,2.18,0.11,1.14,2.9,0.01,172.63,3.14,-155.52,14.73,33.66,0.37,1.92,0.27,-0.43,0.14,1.36,0.2,-0.5,18.03,22,0.01,0.01,0,2
Indus Towers Ltd,Communication Services,Telecom Infrastructure,90413.58,25.07,21.85,38.49,53.33,20.06,11.78,0.59,68.52,1.03,0.76,14.98,3.34,-155.52,14.73,3,0.37,16.61,0.26,6.4,1.04,7.79,0,7.09,8.3,0,0.76,0.37,1,2
PB Fintech Ltd,Communication Services,Online Services,77274.71,1.18,1.7,0.23,5.04,1.75,1.03,0.59,0.98,8,0.04,1153.7,13.15,-155.52,14.73,20.24,0.37,1.53,2.03,2.31,-1.88,0.74,2.14,1.65,1.34,0,0.04,0.04,0,0
Bharti Hexacom Ltd,Communication Services,Telecom Services,71452.5,11.4,14.3,48.33,45.07,6.87,2.74,0.4,-1.75,0.32,1.75,141.66,15.4,-155.52,14.73,9.74,0.37,9.01,-0.2,7.72,0.51,5.06,-0.26,-21.11,5.06,4,1.75,0.44,0,2
Indian Railway Catering and Tourism Corporation Ltd,Communication Services,Online Services,67152,38.93,43.78,19.86,35.39,25.01,19.88,0.79,1.99,1.95,0.02,60.44,20.79,-155.52,14.73,15.12,0.37,34.34,-0.35,0.59,-0.24,-0.54,0.16,1.19,3.85,6.5,0.02,0.01,1,2
Vodafone Idea Ltd,Communication Services,Telecom Services,53529.46,,-3.55,47.85,41.34,-71.78,-15.93,0.22,-1,0.24,,-1.71,-0.51,-155.52,14.73,1.23,0.37,-,-2.69,2.04,0.01,10.71,-2.57,2.66,-1.02,0,-2.34,1.32,0,2
Tata Communications Ltd,Communication Services,Telecom Services,50933.78,58,16.9,14.97,20.12,4.56,4.31,0.95,-3.65,0.44,6.29,52.6,28.45,-155.52,14.73,2.4,0.37,12.35,0.27,0.15,-0.02,-0.18,0.3,0.32,7.97,16.7,6.29,0.46,1,0
Sun Tv Network Ltd,Communication Services,TV Channels & Broadcasters,29386.89,19.43,24.77,45.26,65.73,40.13,17.85,0.44,0.87,8.11,0,15.27,2.79,-155.52,14.73,6.13,0.37,18.28,1.82,3.59,-0.67,-1.65,1.77,3.49,14.2,16.75,0,0,1,2
Tejas Networks Ltd,Communication Services,Telecom Equipments,21997.01,2.06,4.27,-80.32,13.04,2.48,1.07,0.43,1.19,1.43,0.6,349.27,6.98,-155.52,14.73,8.68,0.37,2.2,0.02,0.16,-0.61,-1.75,-0.14,0,16.06,0,0.6,0.23,0,0
ITI Ltd,Communication Services,Telecom Equipments,21970.68,-27.36,-14.94,74.44,-20.98,-43.49,-5.94,0.14,-2.48,0.89,1.01,-38.62,12.31,-155.52,14.73,16.79,0.37,-9.15,0.01,0.01,-0.03,-0.07,0.01,0.01,-0.95,0,1.01,0.19,0,0
Affle (India) Ltd,Communication Services,Advertising,21183.39,14.99,13.14,13.8,21.96,15.65,11.26,0.72,1.82,3.07,0.07,71.26,8.48,-155.52,14.73,11.15,0.37,11.79,-0.65,1.12,0.26,0.77,-0.62,0.87,6.18,0,0.07,0.06,0,2
HFCL Ltd,Communication Services,Telecom Equipments,17157.9,9.23,13.97,-0.98,14.96,7.22,5.52,0.76,2.13,2.08,0.25,52.02,4.29,-155.52,14.73,3.76,0.37,9.56,1.43,3.15,-0.34,-0.97,1.28,3.05,0.51,0.2,0.25,0.15,1,1
PVR INOX Ltd,Communication Services,Theatres,15328.46,-0.44,5.17,31.59,31.4,-0.51,-0.19,0.38,-4.9,0.42,1.13,-479.01,2.09,-155.52,14.73,2.45,0.37,4.86,1.12,-0.03,2.61,3.89,1.07,-0.37,-1.2,0,1.13,0.49,1,0
Indiamart Intermesh Ltd,Communication Services,Online Services,15288.54,17.6,19.46,39.73,35.51,23.73,9.69,0.41,1,2.22,0.02,45.78,8.81,-155.52,14.73,10.86,0.37,19.3,0.29,1.21,0.49,0.78,0.29,1.49,22.54,20,0.02,0.01,0,2
Tata Teleservices (Maharashtra) Ltd,Communication Services,Telecom Services,14190.82,,-6.31,48.52,45.01,-101.71,-97.58,0.96,-0.14,0.04,,-11.55,-0.74,-155.52,14.73,11.75,0.37,-,0.02,0.03,0.01,-0.07,0.02,0.03,-1.69,0,-1.04,15.34,1,0
Network18 Media & Investments Ltd,Communication Services,Movies & TV Serials,12507.16,-1.83,-1.33,-43.77,1.42,-2.04,-0.73,0.87,68.89,0.98,1.32,-60.63,2.72,-155.52,14.73,1.24,0.37,1.17,-,-,-,-,-,-,-0.63,0,1.32,0.43,1,0
Zee Entertainment Enterprises Ltd,Communication Services,TV Channels & Broadcasters,11737.55,0.44,3.56,1.56,8.04,1.61,0.35,0.65,1,4.27,0.03,83.01,1.09,-155.52,14.73,1.34,0.37,1.07,-3.33,-16.08,-0.39,-0.66,-3.32,-16.37,2.18,1,0.03,0.02,1,0
Tips Music Ltd,Communication Services,Movies & TV Serials,10934.08,80.57,66.89,91.01,67.53,49.68,47.85,0.96,1.69,3.3,0.03,85.98,60.91,-155.52,14.73,42.72,0.37,69.11,-1.7,-3.16,2.46,2.75,-1.69,-3.14,3.77,6,0.03,0.01,1,2
Saregama India Ltd,Communication Services,Movies & TV Serials,9813.57,14.02,15.78,10.76,35.79,22.8,10.57,0.46,0.93,4.12,0,49.67,6.66,-155.52,14.73,11.32,0.37,13.59,0.51,0.92,0.08,1.24,0.79,1.43,1.92,4,0,0,0,2
Just Dial Ltd,Communication Services,Online Services,9372.29,9.44,11.19,19.21,38.71,26.92,7.89,0.29,0.35,7.68,0.02,25.82,2.33,-155.52,14.73,6.95,0.37,9.06,-0.49,0.3,0.86,2.5,-0.48,0.2,13.61,0,0.02,0.02,1,0
MedPlus Health Services Ltd,Communication Services,Online Services,7631.1,4.27,6.85,2.54,6.96,1.16,2.26,1.95,5.54,2.98,0.64,116.51,4.84,-155.52,14.73,1.35,0.37,6.26,5.83,5.2,-0.13,-0.22,5.8,5.5,1.2,0,0.64,0.34,0,0
Le Travenues Technology Ltd,Communication Services,Telecom Equipments,5872.17,18.19,14.09,6.22,11.06,10.91,12.47,1.14,7.54,1.51,0.1,77.48,13.17,-155.52,14.73,8.45,0.37,15.99,-0.82,-,1.66,-,-1.44,-,0.34,0,0.1,0.07,0,2
Sterlite Technologies Ltd,Communication Services,Publishing,5776.41,-2.48,9.78,14.26,11.5,-0.92,-0.6,0.65,-12.9,0.9,1.67,-113.26,2.86,-155.52,14.73,1.04,0.37,5.89,-1.04,7.35,0.6,3.34,-1.05,8.69,-0.28,0,1.67,0.41,0,0
DB Corp Ltd,Communication Services,Online Services,5348.75,20.41,23.35,23.31,28.34,17.14,15.27,0.89,3.36,2.94,0.11,12.57,2.41,-155.52,14.73,2.15,0.37,18.16,0.23,0.2,0.42,0.51,0.18,0.11,4.63,5,0.11,0.08,0,2
Cartrade Tech Ltd,Communication Services,Online Services,4963.57,0.67,2.04,2.86,15.04,2.58,0.59,0.23,0.71,3.33,0.05,347.1,2.3,-155.52,14.73,8.94,0.37,1.08,8.53,14.3,-7.69,-18.08,9.11,17.05,5.9,0,0.05,0.04,0,0
MPS Ltd,Communication Services,Publishing,3672.08,26.78,30.75,21.17,32.66,21.31,18.35,0.86,2.96,1.61,0.01,30.91,7.99,-155.52,14.73,6.59,0.37,25.76,0.01,0.02,-0.76,-1.01,0.01,-0.15,20.77,75,0.01,0.01,0,2
Hathway Cable and Datacom Ltd,Communication Services,Cable & D2H,3412.76,2.34,3.31,-19,23.08,4.61,2.03,0.44,1.53,3.46,0,34.36,0.8,-155.52,14.73,1.58,0.37,2.34,0.01,0.02,-1.84,-1.58,0.01,0.02,0.15,0,0,0,1,0
Sri Adhikari Brothers Television Network Ltd,Communication Services,TV Channels & Broadcasters,3301.29,,-167.25,-328.83,-72.39,-652.45,-22.76,0.03,-0.03,0.48,0.11,-155.21,280.25,-155.52,14.73,1012.67,0.37,-162.54,0,0,0,0,0.21,-39.2,0.02,0,0.11,0.02,1,0
Navneet Education Ltd,Communication Services,Publishing,3108.93,20.58,23.24,8.5,20.59,13.73,14.78,1.08,2.84,2.73,0.2,12.36,2.4,-155.52,14.73,1.7,0.37,17.59,-0.06,-0.17,-0.02,-0.31,-0.01,-0.07,31.02,2.6,0.2,0.15,0,2
Mahanagar Telephone Nigam Ltd,Communication Services,Telecom Services,3053.61,,-60.28,9.46,6.77,-237.65,-29.15,0.12,-0.25,0.55,,-0.93,-0.13,-155.52,14.73,2.22,0.37,-,0,0,-0.32,-0.49,-0.16,-0.16,-12.28,0,-1.27,2.81,0,2
